Company Name,Job Title,Location,Skills,Job Type,Salary,Experience,Job Link
Hybrid,Rippling,Technical Support Engineer,"['Bangalore', 'SQL', 'Tableau', 'Javascript']",Python,Job Offer,Rs. 6 LPA - Rs. 10 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Razorpay,Software Engineer,"['Bangalore', 'Java', '.Net', 'PHP', 'Python']",Java Script,Job Offer,Rs. 8 LPA - Rs. 12 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Lenskart,Software Engineer - Full Stack,['Bangalore'],Full Stack Development,Job Offer,Rs. 8 LPA - Rs. 12 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,opentext,Software Engineer,"['Hyderabad', 'Python/Java/C++']",MySQL,Job Offer,Rs. 6 LPA - Rs. 12 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Swiggy,Software Development Engineer in Test,"['Bangalore', 'Java']",MySQL,Job Offer,Rs. 12 LPA - Rs. 20 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,AlphaGrep,DevOps Engineer,['Bangalore'],Python,Job Offer,Rs. 15 LPA - Rs. 25 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Razorpay,Associate Business Analyst,['Bangalore'],SQL,Job Offer,Rs. 8 LPA - Rs. 12 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,AppSierra,React Developer,"['Delhi', 'React', 'HTML', 'CSS']",JavaScript,Job Offer,Rs. 4 LPA - Rs. 6 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Razorpay,Analyst - Risk Management,"['Bangalore', 'SQL']",Microsoft Excel,Job Offer,Rs. 6 LPA - Rs. 10 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,GE HealthCare,Software Engineer,"['Bengaluru', 'Javascript', 'TypeScript']",Angular,Job Offer,Rs. 6 LPA - Rs. 12 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Gameberry Labs,Software Engineer 1,"['Bangalore', 'C', 'C++', 'Golang', 'Java']",MySQL,Job Offer,Rs. 12 LPA - Rs. 20 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Take-Two Interactive,Site Reliability Engineer I (SRE-I),"['Bengaluru', 'AWS']",Azure,Job Offer,Rs. 10 LPA - Rs. 14 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,meesho,Software Development Engineer I (iOS),"['Bangalore', 'iOS Development']",Swift,Job Offer,Rs. 15 LPA - Rs. 30 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,PhonePe,Integration Engineer,"['Bengaluru', 'MySQL']",Python/Java/C++,Job Offer,Rs. 8 LPA - Rs. 14 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Google,"Technical Solutions Consultant, University Graduate, 2025","['Hyderabad, Bengaluru, Gurgaon', 'JavaScript', 'TypeScript', 'HTML', 'Python']",SQL,Job Offer,Rs. 20 LPA - Rs. 30 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,IBM,Software Engineer,"['Hyderabad', 'Java']",Node.js,Job Offer,Rs. 4.5 LPA - Rs. 6.5 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Tower Research Capital,Software Engineer I,"['Gurgaon', 'Python', 'Java']",MySQL,Job Offer,Rs. 20 LPA - Rs. 30 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Wipro,Developer,['Bengaluru'],Software Development,Job Offer,Rs. 4 LPA - Rs. 8 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,KPMG,Executive - Java Backend,['Mumbai'],Java,Job Offer,Rs. 5 LPA - Rs. 8 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Target,Product Ops Analyst,['Bangalore'],SQL,Job Offer,Rs. 8 LPA - Rs. 12 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Razorpay,Junior Associate - SME Partnership,"['Bangalore, Mumbai']",Project Management,Job Offer,Rs. 5 LPA - Rs. 7 LPA,https://cuvette.tech/app/dashboard/other-jobs
Hybrid,PayU,Integration Engineer,"['Bangalore', 'Python', 'Java']",SQL,Job Offer,Rs. 7 LPA - Rs. 12 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Qualys,Software Engineer,"['Pune', 'Java', 'SQL']",Backend Development,Job Offer,Rs. 6 LPA - Rs. 12 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Swiggy,Software Development Engineer in Test,"['Bangalore', 'Java']",MySQL,Job Offer,Rs. 12 LPA - Rs. 20 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Zeta,Software Development Engineer I,"['Mumbai, Bangalore']",Software Development,Job Offer,Rs. 12 LPA - Rs. 20 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Lenskart,Java L1 Support,"['Bhiwadi, Manesar']",Java,Job Offer,Rs. 4 LPA - Rs. 6 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,ClearFeed,Software Engineer,"['Bangalore', 'Python']",MySQL,Job Offer,Rs. 10 LPA - Rs. 15 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Zeta,Implementation Analyst I,"['Bangalore', 'Python']",SQL,Job Offer,Rs. 6 LPA - Rs. 10 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,NVIDIA,System Software Engineer,"['Pune, Hyderabad, Bangalore']",C/C++,Job Offer,Rs. 12 LPA - Rs. 20 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Amazon,IT Application Engineer,['Hyderabad'],SQL,Job Offer,Rs. 12 LPA - Rs. 18 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,MoEngage,Software Engineer (Backend),['Bengaluru'],Python/Java/C++,Job Offer,Rs. 8 LPA - Rs. 15 LPA,https://cuvette.tech/app/dashboard/other-jobs
In Office,GE HealthCare,Software Engineer,"['Bengaluru', 'C++', 'Linux']",Java/Python,Job Offer,Rs. 6 LPA - Rs. 10 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,PhonePe,Integration Engineer,"['Bengaluru', 'MySQL']",Python/Java/C++,Job Offer,Rs. 8 LPA - Rs. 14 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,opentext,Software Engineer,"['Hyderabad', 'Python/Java/C++']",MySQL,Job Offer,Rs. 6 LPA - Rs. 12 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Swiggy,Software Development Engineer in Test,"['Bangalore', 'Java']",MySQL,Job Offer,Rs. 12 LPA - Rs. 20 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,meesho,Software Development Engineer I (iOS),"['Bangalore', 'iOS Development']",Swift,Job Offer,Rs. 15 LPA - Rs. 30 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,MoEngage,Software Engineer (Backend),['Bengaluru'],Python/Java/C++,Job Offer,Rs. 8 LPA - Rs. 15 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Razorpay,Product Support Engineer,"['Bangalore', 'Python']",MySQL,Job Offer,Rs. 5 LPA - Rs. 8 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Adani AI Labs,Frontend Developer,"['Kolkata', 'HTML', 'CSS']",Javascript,Job Offer,Rs. 4 LPA - Rs. 6.5 LPA,https://cuvette.tech/app/dashboard/other-jobs
Hybrid,PayU,Associate Software Engineer,"['Gurgaon', 'Python', 'HTML', 'CSS', 'JavaScript']",SQL,Job Offer,Rs. 6 LPA - 8 LPA,https://cuvette.tech/app/dashboard/other-jobs
Hybrid,American Express,Engineer,"['Gurgaon', 'Python', 'HTML']",CSS,Job Offer,Rs. 6 LPA - Rs. 10 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,NetApp,Software Engineer,"['Bengaluru', 'Python/Java/C++']",SQL,Job Offer,Rs. 8 LPA - Rs. 12 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Lenskart,Software Engineer - Full Stack,['Bangalore'],Full Stack Development,Job Offer,Rs. 8 LPA - Rs. 12 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,PayU,Software Engineer,['Bangalore'],Python/Java/C/C++,Job Offer,Rs. 10 LPA - Rs. 15 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Sprinklr,Technical Supoort Engineer,"['Gurgaon, Bangalore', 'JavaScript/Python/Java']",SQL,Job Offer,Rs. 6 LPA - Rs. 9 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Amazon,IT Application Engineer,['Hyderabad'],SQL,Job Offer,Rs. 12 LPA - Rs. 18 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Optum,Software Engineer,"['Hyderabad', 'Javascript']",Python,Job Offer,Rs. 5 LPA - Rs. 8 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Capegemini,Android Developer,['Coimbatore'],Android Development,Job Offer,Rs. 4 LPA - Rs. 6 LPA,https://cuvette.tech/app/dashboard/other-jobs
Hybrid,PayU,Integration Engineer,"['Bangalore', 'Python', 'Java']",SQL,Job Offer,Rs. 7 LPA - Rs. 12 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Google,Cloud Web Application Engineer,"['Gurgaon', 'Java/Python/JavaScript']",Google Cloud,Job Offer,Rs. 18 LPA - Rs. 24 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Qualcomm,Engineer-APT,"['Hyderabad', 'C', 'C++', 'Java']",Python,Job Offer,Rs. 12 LPA - Rs. 18 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Volvo,Software Engineer,"['Bangalore', '.Net', 'SQL']",C#,Job Offer,Rs. 5 LPA - Rs. 8 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Adobe,Computer Scientist,"['Bangalore', 'AWS']",Google Cloud,Job Offer,Rs. 25 LPA - Rs. 40 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,NVIDIA,System Software Engineer,"['Pune, Hyderabad, Bangalore']",C/C++,Job Offer,Rs. 12 LPA - Rs. 20 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Tower Research Capital,Software Engineer I,"['Gurgaon', 'Python', 'Java']",MySQL,Job Offer,Rs. 20 LPA - Rs. 30 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,American Express GBT,Software Development Engineer I,"['Gurgaon', 'HTML/CSS/JavaScript']",Java,Job Offer,Rs. 8 LPA - Rs. 14 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,NatWest Group,Software Engineer,"['Bangalore', 'Python/Java/C/C++']",SQL,Job Offer,Rs. 8 LPA - Rs. 12 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Amazon,Software Development Engineer 1,['Bangalore'],Software Development,Job Offer,Rs. 18 LPA - Rs. 25 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Goldman Sachs,Software Engineering - Analyst,"['Bengaluru', 'SQL']",AWS,Job Offer,Rs. 12 LPA - Rs. 18 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Capegemini,Software Engineer,['Hyderabad'],Software Development,Job Offer,Rs. 3.5 LPA - Rs. 6 LPA,https://cuvette.tech/app/dashboard/other-jobs
Hybrid,ServiceNow,Software Engineer,"['Hyderabad', 'Java']",JavaScript,Job Offer,Rs. 12 LPA - Rs. 18 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Adobe,Software Development Engineer,['Noida'],Java/C/C++,Job Offer,Rs. 12 LPA - Rs. 20 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Capegemini,Software Engineer,['Bangalore'],Software Development,Job Offer,Rs. 3.5 LPA - Rs. 6 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Qualys,Software Engineer,"['Pune', 'Java', 'SQL']",Backend Development,Job Offer,Rs. 6 LPA - Rs. 12 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,American Express,Associate - Digital Product Management,"['Gurgaon', 'Product Management']",SQL,Job Offer,Rs. 10 LPA - Rs. 15 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,IBM,Software Engineer,"['Hyderabad', 'Java']",Node.js,Job Offer,Rs. 4.5 LPA - Rs. 6.5 LPA,https://cuvette.tech/app/dashboard/other-jobs
Hybrid,Cognizant,Programmer Analyst,"['Chennai', 'Python', 'Java']",C++,Job Offer,Rs. 3.5 LPA - Rs. 5.5 LPA,https://cuvette.tech/app/dashboard/other-jobs
